6Y6K_A	Bandavirus	56763	Bandavirus_6Y6K_A
ADZ04476.1	Bandavirus	9855	Bandavirus_ADZ04476.1
ADZ04493.1	Bandavirus	1771	Bandavirus_ADZ04493.1
AEO51773.1	Bandavirus	9855	Bandavirus_AEO51773.1
AEY79719.1	Bandavirus	6587	Bandavirus_AEY79719.1
AFI45083.1	Bandavirus	2346	Bandavirus_AFI45083.1
AFI45087.1	Bandavirus	9	Bandavirus_AFI45087.1
AFI45091.1	Bandavirus	1771	Bandavirus_AFI45091.1
AFJ15060.1	Bandavirus	2346	Bandavirus_AFJ15060.1
AFJ15067.1	Bandavirus	56763	Bandavirus_AFJ15067.1
AFK08658.1	Bandavirus	9855	Bandavirus_AFK08658.1
AFN26701.1	Bandavirus	234	Bandavirus_AFN26701.1
AFO66272.1	Bandavirus	56763	Bandavirus_AFO66272.1
AFP33396.1	Bandavirus	2346	Bandavirus_AFP33396.1
AGC60107.1	Bandavirus	234	Bandavirus_AGC60107.1
AGC60111.1	Bandavirus	45437	Bandavirus_AGC60111.1
AGI97035.1	Bandavirus	6587	Bandavirus_AGI97035.1
AGI97059.1	Bandavirus	56763	Bandavirus_AGI97059.1
AGI97099.1	Bandavirus	522	Bandavirus_AGI97099.1
AGI97123.1	Bandavirus	2346	Bandavirus_AGI97123.1
AGI97127.1	Bandavirus	654	Bandavirus_AGI97127.1
AGK25091.1	Bandavirus	522	Bandavirus_AGK25091.1
AGM33037.1	Bandavirus	234	Bandavirus_AGM33037.1
AGM33041.1	Bandavirus	9855	Bandavirus_AGM33041.1
AGP25471.1	Bandavirus	9855	Bandavirus_AGP25471.1
AGP25472.1	Bandavirus	2346	Bandavirus_AGP25472.1
AGP25473.1	Bandavirus	45437	Bandavirus_AGP25473.1
AGP25474.1	Bandavirus	522	Bandavirus_AGP25474.1
AGP25475.1	Bandavirus	56763	Bandavirus_AGP25475.1
AGP25476.1	Bandavirus	9	Bandavirus_AGP25476.1
AGP25477.1	Bandavirus	1771	Bandavirus_AGP25477.1
AGP25478.1	Bandavirus	6587	Bandavirus_AGP25478.1
AGW42761.1	Bandavirus	234	Bandavirus_AGW42761.1
